,MI 540 dissipation factor measurement,,,,
time (UTC),tan delta,test object RMS voltage (V),test object current (I),input frequency (Hz),test object capacitance (F)
04-DEC-2019 15:30:8.9,0.00650201,1991.95,1.37326e-05,60,1.82871e-11
04-DEC-2019 15:30:9.2,0.00650872,1991.67,1.3731e-05,60,1.82852e-11
04-DEC-2019 15:30:9.5,0.00650557,1991.93,1.37191e-05,60.0001,1.82869e-11
04-DEC-2019 15:30:9.8,0.00650691,1990.98,1.37324e-05,60,1.8287e-11
04-DEC-2019 15:30:10.1,0.00650675,1992.16,1.37322e-05,60,1.82864e-11
04-DEC-2019 15:30:10.4,0.00650583,1991.83,1.37315e-05,60,1.82857e-11
04-DEC-2019 15:30:10.7,0.00649742,1991.91,1.37313e-05,60,1.82855e-11
04-DEC-2019 15:30:11.0,0.00649636,1991.55,1.3732e-05,60.0001,1.82865e-11
04-DEC-2019 15:30:11.3,0.00652052,1992.09,1.37332e-05,60.0001,1.82882e-11
04-DEC-2019 15:30:18.5,0.00625565,1992.31,3.42067e-05,150,1.82172e-11
04-DEC-2019 15:30:18.8,0.00625686,1992.3,3.42079e-05,150,1.82179e-11
04-DEC-2019 15:30:19.1,0.00625625,1992.56,3.42073e-05,150,1.82175e-11
04-DEC-2019 15:30:19.4,0.00625432,1992.49,3.42072e-05,150,1.82174e-11
04-DEC-2019 15:30:19.7,0.00625493,1992.4,3.4207e-05,150,1.82174e-11
04-DEC-2019 15:30:20.0,0.00625769,1992.36,3.42069e-05,150,1.82174e-11
04-DEC-2019 15:30:20.3,0.00625803,1992.49,3.42069e-05,150,1.82174e-11
04-DEC-2019 15:30:20.6,0.00626233,1992.21,3.42067e-05,150,1.82172e-11
04-DEC-2019 15:30:20.9,0.00626517,1992.4,3.42066e-05,150,1.82173e-11
04-DEC-2019 15:30:21.2,0.00626069,1992.19,3.42064e-05,150,1.82172e-11
04-DEC-2019 15:30:21.5,0.00625934,1992.24,3.42064e-05,150,1.82173e-11
04-DEC-2019 15:30:21.8,0.00625899,1992.49,3.42063e-05,150,1.82172e-11
04-DEC-2019 15:30:24.8,0.00618055,1993.04,5.69394e-05,250,1.81895e-11
04-DEC-2019 15:30:25.1,0.00617936,1992.81,5.69394e-05,250,1.81894e-11
04-DEC-2019 15:30:25.4,0.00617707,1993.08,5.69388e-05,250,1.81892e-11
04-DEC-2019 15:30:25.7,0.00617561,1993.05,5.6938e-05,250,1.81891e-11
04-DEC-2019 15:30:26.0,0.00617656,1992.92,5.69384e-05,250,1.81893e-11
04-DEC-2019 15:30:26.3,0.00617761,1993.02,5.69388e-05,250,1.81895e-11
04-DEC-2019 15:30:26.6,0.00618002,1992.81,5.69384e-05,250,1.81894e-11
04-DEC-2019 15:30:26.9,0.00618258,1992.8,5.69383e-05,250,1.81895e-11
04-DEC-2019 15:30:27.2,0.00617959,1992.89,5.69374e-05,250,1.81892e-11
04-DEC-2019 15:30:27.5,0.00617804,1992.93,5.69372e-05,250,1.81891e-11
04-DEC-2019 15:30:27.8,0.00617531,1992.92,5.69376e-05,250,1.81893e-11
